Image & Photo	PNG	png	2026-03-06	CRC32 per chunk	generated_plasma.png	353280	100		100
Image & Photo	JXL	jxl	2026-03-06	Container + frame checksums	animation_icos4d.jxl	360448	87		100
Image & Photo	WebP	webp	2026-03-06	libwebp full decode	google_gallery_3.webp	207872	83		84
Image & Photo	ICNS	icns	2026-04-23	TLV chunk stream; near-total coverage	sample.icns	245760	97		100
Image & Photo	SWF	swf	2026-04-23	CWS = zlib wrapper; any flip = zlib CRC fail	cws_sample.swf	24576	100		100
Image & Photo	SVG	svg	2026-04-23	XML parse — almost any corruption breaks the XML grammar.	sample.svg	30720	45		99
Image & Photo	ICO	ico	2026-04-23	Directory entries + embedded PNG/BMP image validation. Multi-resolution ICO has high structural-byte density.	sample.ico (multi-res)	237568	63		70
Image & Photo	QOI	qoi	2026-04-23	QOI spec has no per-opcode checksum — bit flips in pixel data decode to different-but-valid pixels. Only magic (4 B) and end marker (8 B) are checkable. Fundamental format limit.	sample.qoi	23552	0		0
Image & Photo	JPEG2K	jpeg2k	2026-03-06	Codestream marker structure	balloon_eciRGB_icc.jp2	1992294	6		97
Image & Photo	GIF	gif	2026-05-27	LZW decode (shotgun desyncs state); larger animated fixture lifts header-tamper detection	animated_sample.gif	409600	9		100
Image & Photo	JPEG	jpeg	2026-05-27	jpegz wrapperDecode (062393f); most single-byte tamper lands in entropy-coded data, which JPEG tolerates by design	w3c_exif_420.jpg	768000	4		100
Image & Photo	EXR	exr	2026-04-23	ZIP-compressed EXR — zlib decompress path runs on every scanline block. Shotgun detection perfect; sniper lower than the 26 KB NONE-compressed sample (6%) because structural bytes are a smaller fraction on the larger file. Both paths validated.	zip_plasma.exr	397312	1		100
Image & Photo	PSD	psd	2026-04-23	RLE-compressed PSD — `validatePsdDeep` decodes every scanline. The old RAW-compressed `sample.psd` (0%/7%) is retained; sweep picks the larger RLE one. Measures the strong path that the RAW sample couldn't exercise.	rle_plasma.psd	1887437	2		50
Image & Photo	HEIC	heic	2026-03-06	H.265 CABAC per tile; no content checksum, so many entropy-payload flips decode as different valid pixels. Structural, NAL, RBSP, and decoder-state violations are still detectable.	sample.heic	3040870	0		4
Image & Photo	AVIF	avif	2026-03-06	AV1 OBUs with entropy-coded tile data; no image-content checksum, so many payload flips can remain syntactically valid. Container/OBU structure and decoder errors are still detectable.	butterfly.avif	89088	0		1
Image & Photo	BMP	bmp	2026-04-23	BMP spec has no data checksums — `bmp_decoder.validateBmp` walks every pixel row proving accessibility but cannot detect bit-flips in pixel bytes. 0/400 at ±0.5% CI. Fundamental format limit.	sample.bmp	943104	0		0
Image & Photo	DPX	dpx	2026-03-06	Raw pixel; SMPTE 268M spec has no checksum	sample.dpx	1887437	0		0
Image & Photo	PAM/PPM	pam	2026-03-06	Raw pixel; Netpbm spec has no checksum	sample.ppm	1887437	0		0
Image & Photo	TGA	tga	2026-05-27	Header + image-spec validation catches malformed-byte tamper; tiny 11 KB fixture pushes structural-byte density up	sample.tga	11264	25		100
Image & Photo	TIFF	tiff	2026-03-06	IFD structural only — no per-strip checksum	pc260001.tif	959488	0		0
Image & Photo	JBIG2	jbig2	2026-04-25	Bi-level image stream walk; sniper 0% on truncated sample. Shotgun N/A (sample < 4 KB).	annex-h-truncated.jbig2	860	0		
RAW Camera	DNG	dng	2026-05-27	TIFF-based via tiffz strip+tile decode loop + jpegz preview decode; 77 MB sensor dump dilutes detection density per byte	L1006922_leica_M11.DNG	80740352	3		3
RAW Camera	CR2	cr2	2026-04-25	TIFF-based; IFD-walked preview JPEG decoded via libjpeg-turbo (sRAW2 lossless strip filtered out so heuristic keeps the real preview)	canon_eos_40d_sraw2.cr2	6081741	1		6
RAW Camera	NEF	nef	2026-03-06	TIFF-based; deep via zigimg	nikon_coolscan_iv.nef	2306867	0		0
RAW Camera	ARW	arw	2026-03-06	TIFF-based; deep via zigimg	sony_ilce_7s.arw	6501171	0		0
RAW Camera	RAF	raf	2026-04-23	Fuji; validator decodes the JPEG preview at 0x54/0x58, but preview is ~0.5% of a 208 MB sensor dump — shotgun almost never lands in it. ⚠ See Action Items.	DSCF0652_fuji_GFX_100.RAF	218103808	0		1
RAW Camera	NRW	nrw	2026-04-23	Nikon; dispatched through LibRaw which unpacks sensor data but the format has no per-row checksum. `libraw_unpack_thumb` is not currently wired up — adding it would catch corruption inside the embedded preview JPEG and could lift this to ~15-30% shotgun. Follow-up item.	NIKON_COOLPIX_P7100.NRW	16777216	0		0
RAW Camera	ORF	orf	2026-04-23	Olympus; validator WARNs on "uncompressed IFD claims but Huffman-compressed data". Structural-only.	PB120976.ORF	14680064	0		0
RAW Camera	PEF	pef	2026-04-23	Pentax; TIFF-wrapped. Structural-only.	IMGP1754.PEF	11534336	0		0
RAW Camera	RW2	rw2	2026-04-23	Panasonic; TIFF-wrapped. Structural-only.	panasonic_16-9.RW2	11534336	0		0
RAW Camera	CR3 (Canon)	cr3	2026-04-25	ISOBMFF-based Canon RAW 3; structural box walk. 15 MB sample at 0%/0% confirms no integrity mechanism beyond structure.	sample.CR3	15728640	0		0
Video	MKV	mkv	2026-03-06	CRC32 per EBML cluster — **gold standard**	generated_testsrc.mkv	478208	100		100
Video	AV1	av1	2026-03-06	OBU structure + tile decode	sample.av1	7885	5		100
Video	MPEG-TS	mpeg_ts	2026-03-06	PAT/PMT CRC + continuity counters	mpeg2_aac_latm.ts	148480	4		100
Video	MIDI	midi	2026-03-06	Track framing + delta/event validation	fur_elise.mid	20480	15		100
Video	ProRes/MOV	prores	2026-03-06	ProRes intra-frame DCT decode per frame	prores_4444_xq.mov	6920602	5		78
Video	MP4	mp4	2026-03-06	H.264 CABAC + AAC decode (sample = `avc1` + AAC)	jellyfish_360_10s.mp4	1048576	0		66
Video	MOV	mov_h264	2026-04-23	H.264 CABAC decode — new sample generated from public-domain jellyfish footage via ffmpeg. Old MPEG-4 Part 2 sample kept in `sample.mov` but sweep now picks the larger H.264 one.	jellyfish_h264.mov	1048576	1		75
Video	WebM (VP9+Opus)	webm	2026-04-24	libvpx 1.14.1 full VP9 decode per frame — every frame entropy + DCT decoded via `vpx_codec_decode`. Opus audio CRC provides additional coverage.	jellyfish_vp9_opus.webm	1887437	86		78
Video	WebM (VP8)		2026-04-24	libvpx 1.14.1 full VP8 decode. **Critical:** uses `VP8D_GET_FRAME_CORRUPTED` control query after each frame — without it, VP8's built-in error concealment silently patches bit flips. Both sniper and shotgun lift by ~90 points because of this query.	jellyfish_360_10s.webm	1048576	88		90
Video	AVI	avi	2026-04-23	MJPEG per-frame decode via libjpeg-turbo — new sample generated via ffmpeg. Old MPEG-4 Part 2 sample kept in `generated_testsrc.avi` but sweep picks the larger MJPEG one.	jellyfish_mjpeg.avi	8912896	0		93
Video	DV	dv	2026-03-06	DV spec has no checksum; relies on tape physical ECC	sample.dv	368640	0		0
Video	MPEG-ES	mpeg_es	2026-03-06	Start codes only	sample.m1v	30720	0		0
Video	MPEG-1/2	mpeg12	2026-03-06	Start codes only	sample.mpg	16384	0		0
Video	MPEG-4 Part 2	mpeg4p2	2026-03-06	VOP header parsing tolerates VOP failures	ubAVIxvid10.avi	1258291	0		0
Video	RM	rm	2026-04-23	RealMedia spec has no checksums; structural chunk walk only	sample.rm	14336	0		2
Video	FLV	flv	2026-04-25	Flash Video tag walk; no per-tag CRC. Tiny 33 B sample — sniper hits magic + header bytes. Shotgun N/A (sample < 4 KB).	sample.flv	33	40		
Video	MPEG-PS	mpeg_ps	2026-04-25	MPEG Program Stream; PES header walk; no CRC. Shotgun N/A (sample < 4 KB).	sample.mpg	2048	0		
Video	Theora (.ogv)	theora	2026-04-25	Theora-in-Ogg; libtheora-encoded testsrc (CC0). Ogg page CRC32 catches every probed bit flip in both modes.	sample.ogv	51200	100		100
Video	VP8 (raw IVF)	ivf	2026-04-25	IVF container with VP8 frames; structural-only without libvpx wired into the IVF dispatch path. Hand-authored CC0 sample. Detection is fundamentally low until VP8-in-IVF gets the same `VP8D_GET_FRAME_CORRUPTED` query as VP8-in-WebM.	sample.ivf	9216	0		0
Audio	AC3	ac3	2026-04-23	CRC-16 per syncframe. Previous sample `TomorrowNeverDies-...ac3` was malformed (started with bytes 0x84 4F 59 11, not AC3 sync 0B 77) — validator correctly rejected it, so the old 100%/100% number was a false positive from trial inheritance. Removed 2026-04-23; now measured against a genuinely valid sample.	Canyon-5.1-48khz-448kbit.ac3	2202010	100		100
Audio	OGG	ogg	2026-03-06	CRC32 per OGG page	wikipedia_example.ogg	106496	100		100
Audio	E-AC3 (large)	eac3_large	2026-03-06	CRC-16 per syncframe (full file, after 2026-03-06 fix)	sample1_5.1_640kbps.eac3	4299162	100		100
Audio	E-AC3 (small)	eac3	2026-03-06	⚠ Lower coverage on smaller file — reflects frame-size / coverage density, not a bug	sample3_5.1_256kbps.eac3	1258291	81		85
Audio	FLAC	flac	2026-03-06	MD5 audio hash + CRC-8/CRC-16 per frame	generated_middle_c.flac	45056	80		88
Audio	ALAC	alac	2026-03-06	Lossless decode — 4KB overwrite kills a frame	sample.m4a	18432	1		100
